Soil Type,pH Level,Nitrogen (N),Phosphorus (P),Potassium (K),Organic Matter (%),Soil Moisture (%),Crop Type,Growth Stage,Temperature (°C),Rainfall (mm),Humidity (%),Sunlight (hours),Fertilizer Type,Fertilizer Amount (kg/ha),Yield (kg/ha),Cost (USD),Profit (USD)
Sandy,5.99,66.63,27.79,44.24,1.55,29.96,Oats,Flowering,24.47,123.55,84.96,6.58,Mixed,132.35,3224.87,235.96,1662.0
Loamy,6.79,67.55,35.29,41.25,2.41,20.3,Soybean,Germination,24.38,132.16,71.5,9.72,Organic,182.28,3873.32,269.59,1669.43
Sandy,6.11,34.29,22.38,33.45,2.95,19.94,Soybean,Maturity,27.49,85.39,69.6,6.93,Organic,131.48,2921.54,215.51,1328.23
Sandy,7.3,35.54,20.84,45.34,1.57,28.36,Corn,Maturity,29.29,65.07,82.11,5.77,Inorganic,159.95,2707.59,154.95,1667.75
Clay,6.69,44.32,29.32,44.7,2.71,34.08,Corn,Flowering,24.37,118.66,56.24,6.73,Mixed,229.71,4447.38,206.47,1730.34
Loamy,5.91,46.85,31.83,46.85,2.68,23.92,Rice,Maturity,31.93,113.73,72.15,5.19,Mixed,104.05,3072.86,175.09,1699.93
Sandy,6.02,53.44,26.47,39.25,1.88,32.96,Soybean,Maturity,21.18,76.38,78.22,8.08,Mixed,186.47,3704.14,191.33,1684.67
Sandy,6.36,60.93,34.32,47.85,2.64,25.36,Corn,Flowering,25.97,141.24,75.88,8.6,Organic,219.95,4349.78,166.85,1622.17
Loamy,5.74,35.43,29.92,44.37,2.32,34.48,Maize,Germination,28.34,85.75,76.19,7.02,Mixed,149.93,4229.34,204.46,1790.23
Clay,5.66,62.11,38.57,33.42,2.46,30.84,Soybean,Vegetative,32.0,131.52,78.17,7.76,Mixed,197.81,3199.83,233.04,1299.91
Loamy,6.86,54.4,21.7,34.14,2.15,32.19,Wheat,Maturity,33.08,62.91,57.43,9.37,Inorganic,140.29,3387.6,267.58,1748.6
Clay,6.31,69.24,21.33,46.29,3.12,28.59,Wheat,Fruit development,23.67,78.67,69.44,6.03,Mixed,234.23,3818.13,207.1,1692.26
Loamy,6.95,56.05,38.1,38.51,2.23,32.37,Wheat,Maturity,23.62,111.44,53.84,5.82,Mixed,139.65,3561.39,150.24,1539.65
Loamy,5.72,58.64,33.38,34.98,3.08,26.86,Wheat,Vegetative,25.52,74.19,53.18,6.29,Organic,192.76,4472.17,250.7,1739.44
Loamy,6.72,37.81,33.42,38.45,1.65,26.35,Soybean,Vegetative,26.41,145.65,78.62,6.1,Organic,123.74,2910.06,253.96,1281.41
Loamy,6.39,60.75,20.55,33.23,2.06,32.47,Maize,Vegetative,32.73,105.16,78.42,9.38,Inorganic,124.23,4321.16,169.56,1564.82
Clay,5.62,33.17,38.75,47.83,2.31,15.3,Wheat,Vegetative,20.11,123.15,56.38,5.23,Mixed,237.2,4051.98,222.83,1604.18
Clay,6.59,56.26,35.44,31.43,2.31,24.58,Maize,Fruit development,30.27,106.15,69.79,5.42,Inorganic,109.34,3701.94,157.61,1481.06
Sandy,5.67,32.22,35.29,37.06,2.38,32.4,Corn,Germination,23.3,90.68,51.36,9.7,Inorganic,125.65,4248.42,243.13,1999.13
Loamy,7.16,34.61,38.24,41.14,2.8,18.92,Corn,Vegetative,33.24,132.21,62.98,6.96,Mixed,223.03,2609.2,284.77,1774.41
Clay,6.76,34.31,31.56,47.47,2.65,34.16,Rice,Vegetative,24.76,52.26,55.15,7.48,Inorganic,148.23,2550.38,211.63,1476.2
Clay,6.61,32.1,27.89,45.63,2.54,29.81,Soybean,Fruit development,28.06,92.68,63.04,7.9,Organic,203.83,4279.68,220.65,1425.66
Clay,5.77,42.85,29.61,30.45,3.18,30.25,Wheat,Maturity,24.94,138.11,70.3,8.91,Organic,164.35,3154.69,293.29,1360.39
Loamy,6.07,69.77,35.54,46.5,1.89,28.31,Maize,Maturity,26.38,58.51,78.16,8.56,Organic,163.14,2536.27,259.7,1492.9
Sandy,6.49,43.93,35.37,42.76,3.22,23.95,Maize,Fruit development,27.83,70.75,67.96,6.86,Mixed,145.83,4212.74,285.24,1950.84
Clay,6.77,60.43,32.19,32.67,3.12,24.22,Barley,Maturity,31.21,146.06,82.6,9.01,Mixed,202.95,4478.05,170.91,1591.0
Loamy,5.87,35.29,24.36,42.35,1.89,31.78,Soybean,Flowering,21.81,145.9,53.54,8.73,Mixed,121.69,2682.68,220.57,1630.93
Clay,5.52,48.18,36.38,46.36,2.75,17.78,Oats,Germination,25.28,88.45,68.86,9.39,Mixed,162.65,3941.88,197.04,1698.3
Clay,6.19,37.4,32.94,42.04,1.95,25.44,Corn,Maturity,29.59,125.23,81.75,6.26,Mixed,198.92,2772.44,243.15,1243.86
Sandy,6.47,37.68,24.43,49.98,3.39,21.2,Soybean,Fruit development,28.83,112.58,58.2,5.47,Mixed,240.57,2794.92,273.21,1418.4
Clay,5.87,33.99,29.61,40.14,2.49,34.69,Maize,Flowering,31.71,99.3,76.98,5.53,Mixed,119.82,3380.04,170.82,1204.07
Clay,6.48,47.28,39.94,43.46,1.91,15.07,Soybean,Germination,33.34,131.39,58.93,7.72,Mixed,118.0,2836.86,259.82,1613.35
Loamy,6.18,33.02,26.57,31.41,2.77,16.27,Barley,Vegetative,21.41,115.09,84.22,6.31,Mixed,209.02,3353.26,234.78,1987.44
Loamy,6.41,66.39,22.33,46.26,2.91,34.35,Corn,Maturity,30.71,59.11,76.49,5.22,Organic,119.11,3020.97,165.16,1600.91
Sandy,6.19,47.92,20.43,42.48,2.71,25.88,Corn,Germination,24.26,133.96,72.87,9.18,Organic,202.67,3437.71,266.41,1883.07
Loamy,6.76,63.54,23.69,41.22,1.98,17.77,Barley,Germination,27.22,77.44,80.56,9.31,Inorganic,109.22,4369.91,232.92,1871.38
Loamy,5.59,69.18,23.74,44.18,2.97,23.97,Wheat,Vegetative,29.42,113.3,70.57,6.83,Organic,144.17,4155.78,196.93,1996.96
Sandy,5.84,57.11,37.16,41.21,3.36,21.45,Wheat,Germination,22.26,127.54,60.23,5.66,Inorganic,193.41,3607.67,169.25,1875.94
Clay,6.37,66.06,23.12,45.33,3.4,33.22,Barley,Maturity,25.2,139.76,61.13,6.24,Inorganic,202.98,4362.08,185.99,1215.27
Sandy,6.21,35.41,37.25,41.67,2.86,28.75,Wheat,Flowering,34.64,142.53,70.61,8.39,Inorganic,223.29,3009.32,232.72,1615.13
Loamy,6.28,63.2,21.73,40.4,3.18,17.61,Corn,Maturity,22.04,142.58,68.48,8.44,Organic,227.33,3193.41,231.55,1539.9
Sandy,7.11,40.85,38.13,32.7,3.46,25.73,Oats,Fruit development,21.25,115.72,81.78,8.51,Inorganic,107.79,2884.54,289.63,1634.82
Clay,7.27,48.9,25.13,39.44,1.59,17.69,Oats,Germination,32.55,112.42,68.97,9.28,Inorganic,104.72,2756.68,182.13,1589.41
Sandy,6.0,55.86,32.23,40.76,2.45,28.3,Maize,Vegetative,26.46,51.48,67.88,9.42,Organic,101.96,4217.13,178.76,1936.55
Loamy,7.17,66.14,23.19,42.49,2.08,29.54,Wheat,Fruit development,30.12,58.45,65.69,9.95,Inorganic,210.89,2830.19,276.75,1375.74
Loamy,6.42,66.44,27.8,39.12,2.45,26.24,Soybean,Germination,24.59,89.26,54.5,6.77,Inorganic,248.5,4194.27,203.12,1646.51
Sandy,6.05,33.68,21.72,32.93,3.33,34.32,Maize,Germination,22.98,129.29,54.22,9.56,Mixed,217.04,3424.52,207.34,1925.92
Clay,7.47,44.58,31.59,33.01,3.47,33.89,Barley,Flowering,23.19,109.21,73.38,8.21,Organic,117.12,3710.07,176.28,1238.73
Sandy,7.15,61.73,26.92,44.42,3.31,19.12,Oats,Vegetative,22.93,73.52,66.06,5.61,Inorganic,211.61,3066.01,189.21,1608.05
Clay,7.49,58.13,37.04,43.23,1.89,15.01,Rice,Maturity,23.7,62.29,69.12,7.97,Inorganic,210.02,2876.68,280.27,1577.1
Clay,5.84,31.05,23.64,35.19,3.11,28.25,Wheat,Germination,23.32,96.82,82.45,6.9,Mixed,224.54,2740.35,156.68,1735.84
Sandy,5.79,48.0,25.6,38.92,3.14,24.51,Rice,Fruit development,32.21,141.29,77.4,5.37,Mixed,128.63,2972.59,237.97,1704.93
Clay,6.51,63.17,23.55,36.14,2.66,21.69,Wheat,Vegetative,28.0,55.31,63.28,6.24,Organic,213.6,4351.26,269.31,1335.1
Loamy,6.78,59.51,31.28,33.62,2.93,33.34,Maize,Maturity,24.45,96.26,77.23,8.56,Organic,176.76,4381.73,285.94,1822.62
Sandy,5.84,46.47,22.23,36.52,3.31,34.57,Rice,Fruit development,25.18,55.9,84.08,6.74,Inorganic,160.32,2894.98,246.83,1999.26
Clay,7.22,59.41,23.79,35.25,3.49,33.61,Oats,Vegetative,34.37,75.01,55.72,8.23,Inorganic,128.9,3744.95,165.15,1583.28
Loamy,6.56,52.05,33.57,31.65,1.58,25.0,Corn,Flowering,22.76,145.38,81.39,9.54,Inorganic,237.09,3388.34,230.62,1368.07
Sandy,6.32,66.51,21.49,40.09,2.01,29.07,Wheat,Fruit development,33.3,60.47,62.4,7.95,Organic,191.47,3704.43,240.41,1224.47
Loamy,6.7,53.49,34.86,39.02,3.37,18.43,Barley,Vegetative,31.05,55.08,75.75,9.77,Organic,237.27,3888.39,202.91,1442.4
Loamy,6.77,46.03,22.09,44.29,2.16,34.02,Barley,Maturity,29.2,58.72,73.78,6.72,Organic,153.35,2570.76,268.66,1301.12
Loamy,5.59,64.52,31.71,42.41,1.71,20.67,Soybean,Germination,29.36,119.17,74.75,9.38,Inorganic,146.31,2696.33,228.19,1913.36
Clay,7.5,31.99,39.96,36.87,2.13,18.85,Oats,Vegetative,26.34,51.22,81.22,9.82,Organic,149.24,3600.53,155.03,1881.39
Sandy,6.23,66.02,23.48,39.93,2.54,16.2,Oats,Fruit development,26.58,89.37,72.07,7.59,Inorganic,162.81,3015.04,289.97,1894.23
Sandy,5.62,57.85,25.22,40.72,2.27,26.01,Rice,Maturity,31.94,145.33,56.67,6.82,Inorganic,157.58,3990.54,249.46,1408.27
Clay,7.2,67.62,37.97,48.35,3.08,33.97,Barley,Germination,32.16,56.89,73.41,6.75,Mixed,150.96,2714.84,292.13,1494.31
Sandy,7.49,40.02,32.53,49.63,2.72,17.71,Soybean,Maturity,28.57,143.21,61.85,7.12,Mixed,109.7,3989.42,241.77,1388.25
Loamy,7.13,57.8,29.85,46.31,2.37,17.42,Rice,Germination,31.53,61.75,83.4,8.3,Organic,185.34,3153.72,251.1,1827.17
Sandy,7.2,62.38,31.25,41.24,3.49,20.45,Oats,Flowering,32.15,62.78,60.96,7.19,Mixed,231.84,2966.5,171.44,1915.88
Clay,6.75,58.08,25.91,48.56,3.27,28.31,Maize,Flowering,24.98,110.48,58.44,8.81,Inorganic,115.3,3970.25,151.11,1542.41
Loamy,7.34,38.41,37.11,33.56,3.22,25.96,Soybean,Maturity,29.35,74.39,50.54,8.45,Mixed,162.98,3127.97,167.76,1885.45
Clay,5.57,41.02,34.91,43.93,2.63,16.92,Oats,Germination,26.54,50.31,80.17,6.63,Mixed,192.2,3901.34,181.07,1487.85
Loamy,7.03,52.67,32.85,39.21,3.06,23.85,Wheat,Germination,21.47,124.95,82.06,9.03,Inorganic,169.1,3618.14,232.98,1412.0
Loamy,6.84,47.87,38.63,32.89,2.17,16.34,Corn,Vegetative,29.73,87.09,52.37,8.79,Inorganic,181.15,3877.89,186.94,1575.81
Sandy,5.6,59.4,31.56,31.5,2.16,32.04,Maize,Vegetative,28.81,140.81,64.51,8.09,Inorganic,130.22,2688.98,221.53,1611.05
Loamy,6.59,45.15,30.24,39.61,3.28,17.14,Rice,Flowering,21.54,77.81,64.65,5.93,Organic,241.32,3690.42,273.77,1206.94
Clay,6.53,64.38,39.51,34.78,2.69,24.43,Wheat,Flowering,21.06,116.93,78.01,7.53,Inorganic,147.16,4169.38,236.04,1761.37
Sandy,6.88,47.28,24.12,35.01,2.19,25.21,Rice,Germination,23.74,82.64,62.03,7.26,Inorganic,144.92,3461.05,234.07,1315.36
Clay,5.66,31.6,22.84,36.4,3.19,25.6,Soybean,Germination,32.5,64.83,62.02,5.1,Inorganic,168.73,3340.9,292.33,1401.02
Loamy,7.11,30.69,23.25,44.37,2.39,27.18,Soybean,Fruit development,20.96,147.48,61.61,9.96,Inorganic,112.09,2540.34,197.72,1738.49
Clay,5.78,55.87,39.79,33.28,2.3,29.03,Corn,Vegetative,26.91,108.82,65.02,8.54,Inorganic,247.07,4428.22,266.69,1978.66
Clay,6.34,51.62,33.05,44.35,1.55,15.09,Soybean,Germination,22.69,133.97,72.49,6.85,Inorganic,172.73,4477.46,280.63,1946.09
Loamy,7.26,51.71,26.12,45.65,2.86,15.62,Maize,Germination,23.8,75.02,83.9,7.89,Inorganic,166.29,3989.87,278.07,1984.69
Sandy,6.62,61.6,24.98,41.89,2.57,27.23,Rice,Flowering,31.55,89.32,68.49,9.45,Mixed,244.45,2757.74,215.27,1233.99
Clay,6.26,45.03,21.13,34.95,2.12,18.64,Rice,Maturity,32.76,97.69,63.63,5.19,Inorganic,167.13,3780.49,234.3,1477.35
Loamy,5.6,69.82,22.64,31.03,1.78,31.64,Maize,Flowering,28.7,112.96,50.62,6.29,Organic,224.65,3145.22,214.15,1218.89
Sandy,6.84,67.82,38.16,38.16,1.86,27.55,Soybean,Germination,32.95,89.49,55.61,9.74,Inorganic,113.03,3577.86,161.2,1829.12
Sandy,7.47,30.52,34.95,46.95,1.95,34.61,Soybean,Vegetative,32.85,74.74,83.18,5.08,Mixed,125.49,2608.49,287.94,1647.11
Sandy,7.32,65.83,38.83,32.04,3.23,29.56,Maize,Maturity,23.32,68.99,59.09,7.91,Inorganic,177.29,4019.55,258.9,1208.61
Clay,6.93,57.22,28.47,44.9,2.46,16.81,Corn,Fruit development,29.68,109.93,57.06,7.68,Inorganic,244.44,3684.41,271.12,1816.28
Clay,5.71,50.08,32.02,39.36,2.89,18.42,Oats,Flowering,31.67,74.77,56.03,9.9,Inorganic,207.61,2969.39,184.8,1371.95
Clay,5.98,53.31,29.67,47.98,2.42,15.93,Oats,Fruit development,28.42,89.66,70.58,7.15,Inorganic,125.9,3783.73,237.09,1388.66
Sandy,5.87,63.67,37.63,37.12,2.45,29.82,Wheat,Vegetative,32.09,53.47,63.82,9.88,Inorganic,242.6,3436.86,172.13,1683.56
Clay,6.21,68.04,39.83,44.09,3.14,17.54,Wheat,Maturity,29.43,75.64,70.44,5.06,Mixed,173.0,3523.27,264.68,1221.15
Loamy,5.97,52.41,38.66,44.8,3.04,28.28,Soybean,Vegetative,24.27,98.3,84.09,6.7,Inorganic,194.28,2658.37,182.03,1778.99
Clay,5.99,37.25,31.96,33.97,1.96,26.11,Barley,Maturity,30.28,129.6,52.61,6.35,Organic,247.85,2543.77,231.34,1459.01
Clay,6.73,55.59,21.24,33.16,2.75,27.67,Wheat,Fruit development,28.82,87.3,54.72,5.73,Organic,202.87,3170.14,208.18,1544.95
Sandy,6.14,33.05,32.35,31.85,2.86,25.17,Wheat,Fruit development,29.37,79.52,70.08,9.98,Mixed,176.95,2593.49,285.46,1211.99
Clay,6.85,55.41,21.94,44.03,2.31,15.26,Barley,Vegetative,21.43,101.61,55.74,9.86,Inorganic,226.83,3179.89,218.8,1384.1
Loamy,7.4,62.34,22.78,40.96,1.64,20.06,Wheat,Maturity,21.89,54.98,73.22,5.72,Organic,242.46,3254.67,195.87,1675.97
Sandy,6.78,44.13,23.83,31.73,2.24,32.7,Soybean,Fruit development,32.22,85.39,78.5,7.62,Mixed,246.8,3024.45,152.81,1477.55
Loamy,7.0,32.85,27.27,36.17,2.22,33.59,Oats,Maturity,26.47,63.53,75.47,5.48,Organic,247.5,4010.14,244.08,1584.41
Sandy,7.0,57.69,31.84,32.85,2.88,16.94,Rice,Fruit development,23.23,75.35,61.11,5.62,Mixed,165.55,3345.37,225.71,1538.29
Sandy,6.16,43.57,26.67,31.85,3.12,34.05,Soybean,Germination,21.39,89.07,79.34,8.55,Organic,213.05,2682.62,250.91,1569.05
Clay,5.53,39.96,29.05,35.98,2.29,28.41,Soybean,Fruit development,23.94,55.8,67.86,9.34,Inorganic,208.05,3361.02,237.05,1389.93
Loamy,5.61,57.57,20.95,31.93,2.79,33.45,Barley,Germination,24.43,129.72,77.41,8.02,Organic,104.58,2620.89,263.86,1231.93
Sandy,6.06,68.78,32.4,35.2,2.79,23.02,Corn,Vegetative,34.74,77.47,83.67,5.56,Mixed,183.47,3395.62,166.93,1465.25
Clay,6.88,59.81,33.14,41.05,2.8,17.03,Corn,Germination,32.52,73.28,66.28,9.13,Inorganic,193.23,4026.53,154.67,1478.77
Sandy,7.31,49.65,21.99,41.22,2.61,21.05,Soybean,Vegetative,21.18,84.36,66.28,9.32,Inorganic,119.19,4087.06,195.88,1682.28
Sandy,7.42,54.02,35.7,33.36,2.76,28.79,Maize,Germination,31.23,86.78,58.72,7.8,Mixed,240.09,3377.09,278.21,1967.54
Sandy,5.55,35.69,32.95,33.82,3.24,30.9,Maize,Vegetative,28.46,131.27,54.3,7.08,Mixed,103.1,4312.22,293.13,1415.76
Sandy,7.48,62.53,29.79,47.1,3.34,16.0,Oats,Fruit development,23.43,78.48,75.73,7.04,Mixed,115.78,2650.64,185.54,1571.44
Sandy,6.14,54.17,31.06,33.34,1.68,24.74,Corn,Flowering,31.2,96.05,76.19,8.3,Inorganic,160.12,4361.22,202.39,1453.98
Sandy,7.19,68.63,30.06,30.91,1.52,16.29,Barley,Flowering,20.45,99.82,67.3,9.58,Mixed,248.96,4337.22,295.11,1409.94
Clay,5.86,69.18,21.08,34.9,2.54,32.27,Corn,Flowering,30.97,80.56,76.49,9.54,Organic,104.4,4351.06,196.89,1777.59
Sandy,5.63,44.18,34.7,41.53,2.33,24.53,Rice,Germination,33.43,128.33,58.53,8.93,Mixed,133.59,3452.03,243.57,1225.35
Loamy,6.26,69.54,30.24,30.14,2.4,33.3,Corn,Flowering,33.24,112.4,50.12,6.77,Mixed,152.34,2659.77,185.6,1833.07
Clay,7.22,68.27,23.46,49.7,2.42,16.57,Oats,Vegetative,31.59,122.1,51.14,7.01,Organic,233.48,3571.95,279.08,1867.15
Loamy,5.94,55.59,33.61,34.61,3.29,21.61,Barley,Germination,34.02,55.46,69.54,8.64,Mixed,225.02,3491.45,257.92,1750.07
Sandy,5.81,43.34,33.9,34.76,2.77,28.53,Oats,Germination,30.61,131.95,51.79,8.46,Mixed,111.23,2950.04,175.16,1415.64
Loamy,7.32,60.13,24.27,44.77,2.38,20.87,Oats,Fruit development,30.3,74.04,79.03,9.59,Mixed,192.97,4037.66,232.5,1941.45
Sandy,7.38,40.85,35.93,34.96,2.41,31.83,Wheat,Vegetative,20.39,59.18,74.98,8.96,Mixed,238.26,2544.19,218.33,1723.38
Sandy,5.53,55.19,29.13,37.92,3.19,34.74,Soybean,Vegetative,22.61,116.1,80.65,9.89,Organic,139.23,4218.96,265.54,1978.11
Clay,6.95,30.98,23.61,40.88,1.93,20.62,Oats,Fruit development,31.72,71.8,74.1,6.11,Inorganic,173.11,3770.02,259.15,1501.29
Clay,6.12,55.14,33.15,30.44,1.53,22.22,Soybean,Maturity,34.96,90.65,52.17,9.61,Inorganic,173.17,4285.21,253.79,1860.11
Sandy,6.25,68.06,31.93,46.75,2.46,34.35,Barley,Fruit development,30.8,120.79,61.2,9.87,Mixed,236.67,3257.03,255.88,1374.14
Clay,6.44,39.41,23.41,40.24,3.42,22.16,Soybean,Maturity,28.7,60.27,62.49,9.53,Mixed,140.8,2832.21,283.97,1910.51
Loamy,6.35,61.13,37.45,36.26,3.13,26.12,Barley,Flowering,22.75,62.77,70.31,5.71,Inorganic,153.65,3127.35,265.76,1825.76
Clay,6.53,41.74,37.09,38.0,2.32,30.38,Rice,Flowering,34.22,116.49,83.7,9.71,Mixed,236.03,4383.38,233.69,1916.55
Clay,6.66,58.31,36.72,31.12,1.85,23.77,Rice,Flowering,29.75,94.96,76.95,8.79,Organic,194.13,3180.04,282.66,1825.04
Loamy,6.43,58.0,27.98,44.36,2.64,22.45,Wheat,Flowering,27.34,72.12,58.82,6.81,Inorganic,241.56,2537.32,202.82,1405.25
Clay,6.9,37.39,36.49,40.79,3.26,24.91,Oats,Fruit development,32.92,101.58,53.41,7.28,Inorganic,239.31,3890.67,281.13,1386.74
Sandy,6.94,53.89,36.9,48.28,2.93,30.59,Soybean,Flowering,34.3,111.86,81.4,5.32,Inorganic,195.66,4072.8,241.61,1271.87
Loamy,6.38,64.37,39.93,39.28,2.58,21.24,Wheat,Fruit development,25.57,90.51,70.26,7.06,Mixed,140.69,3736.64,272.64,1606.79
Sandy,5.78,45.3,39.15,46.57,2.97,22.02,Corn,Vegetative,27.74,67.29,55.08,6.24,Mixed,159.76,4004.18,255.7,1573.2
Loamy,6.78,58.41,27.66,33.77,3.43,18.78,Soybean,Vegetative,21.73,114.75,79.27,8.6,Organic,176.14,3619.97,192.91,1377.44
Sandy,7.05,56.98,23.96,31.13,2.61,29.03,Wheat,Germination,34.4,62.12,72.14,7.82,Inorganic,117.14,3178.8,299.14,1636.76
Sandy,6.78,40.3,25.85,48.97,2.61,32.99,Rice,Vegetative,21.81,115.35,81.14,9.67,Inorganic,136.9,3692.76,192.45,1347.98
Clay,6.68,66.75,29.9,35.14,2.46,18.71,Barley,Maturity,33.94,77.08,76.65,8.09,Mixed,165.65,3925.36,231.69,1511.62
Sandy,5.96,52.54,36.11,46.67,2.63,15.69,Rice,Maturity,22.87,50.14,68.24,8.89,Inorganic,220.86,3893.11,191.98,1328.04
Clay,6.79,44.21,34.46,35.15,2.77,22.63,Rice,Flowering,33.63,96.58,69.73,9.06,Mixed,153.11,4036.03,219.25,1806.88
Loamy,6.17,36.57,35.75,33.12,1.91,23.2,Barley,Germination,26.78,81.0,68.32,5.34,Inorganic,131.04,4243.94,242.16,1808.14
Sandy,7.34,48.94,27.6,44.65,2.64,27.92,Wheat,Fruit development,28.88,72.94,51.91,9.1,Mixed,227.95,2553.84,182.77,1898.48
Sandy,6.81,59.2,24.94,45.57,1.53,16.71,Wheat,Fruit development,20.53,99.85,82.71,5.82,Mixed,229.9,3977.72,229.31,1628.93
Loamy,6.06,54.95,20.48,46.87,3.38,31.43,Wheat,Fruit development,25.92,83.66,84.57,6.1,Mixed,128.19,3853.38,274.44,1703.74
Loamy,6.45,59.08,32.52,47.3,1.58,26.48,Maize,Flowering,27.4,79.5,60.65,7.51,Organic,161.5,4452.71,282.42,1709.42
Sandy,7.19,61.67,35.9,39.66,3.42,25.92,Soybean,Germination,20.14,126.26,78.68,7.33,Organic,125.08,2786.15,193.37,1336.82
Loamy,6.17,47.64,37.78,38.0,3.44,21.33,Maize,Vegetative,29.91,58.3,84.91,9.77,Organic,231.28,3610.88,173.51,1504.09
Clay,6.55,50.81,29.52,45.02,2.55,22.31,Maize,Vegetative,32.58,89.79,50.68,7.23,Inorganic,122.91,3266.19,198.74,1953.35
Loamy,6.86,69.46,38.55,41.39,2.16,16.11,Barley,Flowering,20.37,74.68,61.28,7.1,Organic,231.37,3102.16,180.57,1436.76
Loamy,7.01,68.72,24.05,49.31,1.87,30.08,Oats,Maturity,27.39,78.54,69.95,9.1,Inorganic,123.64,3677.14,259.26,1668.88
Sandy,5.85,46.59,30.29,37.52,1.82,27.09,Corn,Fruit development,20.51,94.19,63.8,6.47,Organic,111.2,3741.88,294.06,1687.25
Clay,6.63,57.41,24.28,30.86,1.98,34.53,Oats,Maturity,33.1,142.27,83.87,9.0,Organic,109.03,3928.42,197.83,1795.3
Loamy,7.32,40.7,23.76,41.79,2.45,22.07,Corn,Vegetative,22.41,115.92,56.71,6.23,Mixed,207.52,4381.18,197.23,1370.14
Clay,7.44,36.11,39.07,37.07,2.99,28.32,Oats,Flowering,20.88,69.31,63.76,7.03,Inorganic,225.45,3504.29,256.01,1931.34
Clay,6.81,60.74,36.35,36.85,2.3,33.39,Rice,Maturity,32.87,107.24,75.66,9.57,Organic,165.81,4169.31,252.67,1981.92
Clay,7.47,47.45,20.24,41.29,3.06,29.23,Barley,Vegetative,26.67,65.38,77.89,7.36,Organic,227.08,4173.24,215.44,1627.93
Sandy,6.64,37.08,25.37,48.44,2.63,15.81,Maize,Flowering,21.43,138.53,53.54,9.65,Inorganic,126.78,2756.52,197.13,1541.97
Loamy,6.39,60.35,24.1,35.34,1.54,27.64,Oats,Fruit development,29.72,92.39,57.73,6.89,Organic,149.41,3496.67,222.09,1388.68
Sandy,6.6,66.61,22.94,37.59,1.76,25.91,Corn,Germination,30.58,144.97,54.62,5.44,Organic,221.52,3689.86,255.41,1550.79
Loamy,5.73,67.33,33.95,47.82,2.64,24.99,Oats,Vegetative,28.53,116.24,67.5,8.81,Mixed,120.74,2835.43,212.18,1954.66
Loamy,6.3,53.85,31.34,47.9,1.82,26.06,Maize,Germination,24.98,133.35,68.64,6.24,Organic,169.23,3745.61,280.33,1273.6
Sandy,6.42,49.19,29.08,34.69,2.72,24.21,Oats,Flowering,26.37,67.93,75.8,8.74,Inorganic,119.86,3799.69,250.54,1502.49
Clay,7.2,35.67,23.79,44.13,2.39,28.84,Soybean,Vegetative,34.32,135.49,80.58,7.88,Inorganic,135.99,2845.81,248.23,1854.58
Clay,7.02,61.71,25.55,38.31,2.88,15.3,Maize,Fruit development,28.02,68.95,54.81,9.87,Mixed,194.0,4349.56,255.04,1798.16
Loamy,6.7,67.81,27.12,48.72,2.08,18.77,Rice,Fruit development,25.96,147.62,68.56,7.13,Organic,206.47,4289.52,287.81,1661.33
Sandy,6.19,65.58,35.71,44.64,3.14,22.31,Wheat,Flowering,30.62,77.99,66.82,9.47,Inorganic,138.09,3015.91,205.85,1825.0
Clay,5.87,60.07,39.78,39.89,2.28,24.05,Rice,Germination,21.14,118.41,81.34,8.62,Mixed,204.42,3952.66,220.28,1781.96
Clay,6.2,30.18,23.68,46.35,3.09,17.61,Maize,Maturity,24.35,104.65,68.48,5.73,Mixed,245.8,3765.08,162.01,1700.81
Loamy,6.86,46.31,26.83,49.96,1.54,31.4,Oats,Fruit development,23.4,97.86,58.07,8.56,Inorganic,129.39,3835.43,191.94,1719.11
Loamy,6.03,46.43,25.6,38.94,2.29,33.59,Barley,Germination,30.2,92.86,82.41,8.19,Mixed,106.03,3690.28,196.95,1476.09
Sandy,6.35,65.77,20.88,37.47,1.94,30.02,Oats,Germination,29.06,88.36,82.58,9.89,Inorganic,159.46,3238.82,298.72,1663.32
Loamy,6.27,32.63,24.38,42.14,2.39,33.58,Maize,Vegetative,31.39,80.32,54.4,7.29,Organic,181.25,2555.05,211.87,1389.59
Clay,7.03,51.25,38.03,43.66,3.39,29.86,Wheat,Maturity,26.4,109.72,79.85,7.78,Inorganic,136.46,3350.45,178.19,1943.3
Clay,7.27,35.45,36.86,44.09,1.82,23.82,Rice,Flowering,22.61,148.42,79.3,8.55,Mixed,147.5,4231.36,290.53,1591.72
Clay,6.9,56.49,23.35,39.47,1.68,22.86,Rice,Fruit development,22.74,117.22,70.63,8.04,Mixed,102.19,2554.08,216.08,1763.02
Clay,6.18,61.69,27.32,36.65,1.62,18.33,Oats,Maturity,33.38,125.69,66.55,8.08,Inorganic,166.43,3871.39,189.9,1231.83
Sandy,6.37,55.68,26.22,46.44,1.75,16.73,Maize,Germination,21.12,115.42,56.47,7.26,Inorganic,206.08,2687.68,280.9,1713.57
Sandy,5.79,61.78,22.95,49.17,1.62,19.39,Soybean,Maturity,28.91,101.57,57.36,8.86,Organic,238.58,3737.1,237.15,1692.44
Loamy,5.84,54.3,32.44,47.28,2.87,25.64,Barley,Vegetative,23.48,131.71,59.2,5.05,Organic,193.32,3438.56,245.22,1465.89
